20                       |29655.365,5924.062,-14564|0.000,324.293,0.000      |Pos¹g Beliara            |MOBNAME_ADDON_IDOL       
265                      |26031.037,1039.182,-8893.|0.000,75.001,0.000       |Iotar 721 - 762          |MOBNAME_GRAVE_18         
272                      |34442.094,3652.016,-19768|0.000,47.155,0.000       |Kufer                    |MOBNAME_CHEST            
274                      |33911.715,3649.859,-20389|0.000,47.155,0.000       |Kufer                    |MOBNAME_CHEST            
281                      |29733.906,6030.213,-15047|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
283                      |29708.256,6034.476,-15998|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
285                      |30428.543,6031.790,-15730|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
359                      |29474.736,5278.664,-15933|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
361                      |29307.195,5281.791,-15363|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
375                      |30539.955,5148.629,-15813|0.000,180.000,0.000      |Stó³ runiczny            |MOBNAME_RUNEMAKER        
377                      |30593.355,5150.527,-15496|0.000,131.006,0.000      |Stó³ alchemiczny         |MOBNAME_LAB              
411                      |29817.000,5148.000,-14369|0.000,230.001,0.000      |Kuchnia                  |MOBNAME_STOVE            
413                      |30128.326,5148.463,-14811|0.000,152.256,0.000      |Fotel                    |MOBNAME_ARMCHAIR         
427                      |30703.695,5149.067,-15089|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
773                      |17699.518,3159.393,-21339|0.000,50.000,0.000       |                         |MOBNAME_CHAIR            
787                      |17414.346,3166.885,-20818|0.000,102.836,0.000      |£ó¿ko                    |MOBNAME_BED              
919                      |29897.807,4248.067,-14872|0.000,77.983,0.000       |Kufer                    |MOBNAME_CHEST            
1227                     |17897.078,3163.391,-20770|0.000,47.762,0.000       |Kufer                    |MOBNAME_CHEST            
1247                     |24472.273,3109.886,-21075|0.000,47.155,0.000       |Kufer                    |MOBNAME_CHEST            
1306                     |30101.432,6028.541,-16010|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
1308                     |29417.227,6031.176,-15698|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
1311                     |30257.154,5154.084,-14557|0.000,135.000,0.000      |                         |                         
1315                     |29465.301,5893.728,-15319|0.000,77.469,0.000       |Kufer                    |MOBNAME_CHEST            
1348                     |21917.537,2900.532,-22751|0.000,125.001,0.000      |Do Khorinis              |MOBNAME_CITY             
1435                     |30045.898,5147.116,-16555|0.000,77.469,0.000       |Kufer                    |MOBNAME_CHEST            
1756                     |82110.406,3674.937,29394.|0.000,135.000,0.000      |                         |                         
2000                     |82508.477,3462.952,23365.|0.000,135.000,0.000      |Drzwi                    |MOBNAME_DOOR             
2013                     |83545.617,3488.009,28626.|0.000,152.332,0.000      |                         |MOBNAME_BBQ_SCAV         
2015                     |83071.117,3493.196,28649.|0.000,62.000,0.000       |£ó¿ko                    |MOBNAME_BED              
2017                     |83234.102,3493.196,28919.|0.000,62.000,0.000       |£ó¿ko                    |MOBNAME_BED              
2037                     |83889.203,3493.798,29011.|0.000,180.000,0.000      |Stó³ runiczny            |MOBNAME_RUNEMAKER        
2039                     |84002.047,3495.788,28770.|0.000,131.007,0.000      |Stó³ alchemiczny         |MOBNAME_LAB              
2072                     |74465.469,6678.921,28941.|0.000,77.049,0.000       |Kufer                    |MOBNAME_CHEST            
2640                     |81407.680,5432.512,34724.|0.000,77.469,0.000       |Kufer                    |MOBNAME_CHEST            
2657                     |79042.312,5475.306,34133.|0.000,77.469,0.000       |Kufer                    |MOBNAME_CHEST            
2659                     |79082.977,5479.306,34039.|0.000,77.469,0.000       |Kufer                    |MOBNAME_CHEST            
3189                     |73994.273,5491.545,23710.|0.000,47.154,0.000       |Kufer                    |MOBNAME_CHEST            
3202                     |66055.398,6712.728,46370.|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
3563                     |37788.727,5410.367,32117.|0.000,80.470,0.000       |Kufer                    |MOBNAME_CHEST            
3565                     |34849.652,5059.265,31437.|0.000,77.469,0.000       |Kufer                    |MOBNAME_CHEST            
3714                     |84871.336,5451.599,33451.|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
3739                     |70253.664,4359.196,22198.|0.000,312.555,0.000      |Pos¹g Innosa             |MOBNAME_INNOS            
3751                     |59333.137,3143.092,12065.|0.000,312.555,0.000      |Pos¹g Innosa             |MOBNAME_INNOS            
3754                     |59721.395,6836.476,40533.|0.000,314.329,0.000      |Pos¹g Innosa             |MOBNAME_INNOS            
4115                     |57441.000,6946.000,25594.|0.000,250.657,0.000      |Drzwi                    |MOBNAME_DOOR             
4123                     |56935.324,6932.794,25788.|0.000,77.469,0.000       |Kufer                    |MOBNAME_CHEST            
4178                     |59107.324,6939.804,24047.|0.000,250.000,0.000      |Drzwi                    |MOBNAME_DOOR             
4188                     |60576.730,7086.466,24902.|0.000,77.469,0.000       |Kufer                    |MOBNAME_CHEST            
4220                     |60720.145,7086.126,24873.|0.000,77.469,0.000       |Kufer                    |MOBNAME_CHEST            
6108                     |82987.695,3547.792,22025.|0.000,77.050,0.000       |Kufer                    |MOBNAME_CHEST            
6581                     |80785.523,5007.796,26692.|0.000,39.845,0.000       |Patelnia                 |MOBNAME_PAN              
6714                     |80532.703,5004.334,26205.|0.000,62.000,0.000       |£ó¿ko                    |MOBNAME_BED              
6987                     |-10511.752,702.586,-18938|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
6989                     |-9935.792,723.559,-19640.|0.000,152.256,0.000      |                         |MOBNAME_SEAT             
6991                     |-10326.910,723.357,-19592|0.000,215.006,0.000      |£ó¿ko                    |MOBNAME_BED              
6993                     |-9619.590,193.606,-18131.|0.000,50.000,0.000       |                         |MOBNAME_CHAIR            
6995                     |-9487.478,192.606,-17918.|0.000,50.000,0.000       |                         |MOBNAME_CHAIR            
7000                     |-10054.601,193.887,-17817|0.000,50.000,0.000       |                         |MOBNAME_CHAIR            
7002                     |-10335.054,193.887,-17832|0.000,50.000,0.000       |                         |MOBNAME_CHAIR            
7004                     |-10520.865,194.887,-17799|0.000,50.000,0.000       |                         |MOBNAME_CHAIR            
7006                     |-10800.896,198.887,-17820|0.000,50.000,0.000       |                         |MOBNAME_CHAIR            
7008                     |-10206.895,193.887,-18202|0.000,50.000,0.000       |                         |MOBNAME_CHAIR            
7010                     |-10517.359,193.887,-18180|0.000,50.000,0.000       |                         |MOBNAME_CHAIR            
7015                     |-10761.129,194.094,-18241|0.000,230.001,0.000      |Kuchnia                  |MOBNAME_STOVE            
7017                     |-10863.694,195.094,-18102|0.000,80.000,0.000       |Kocio³                   |MOBNAME_CAULDRON         
7019                     |-10323.222,-113.286,-1520|0.000,119.926,0.000      |Ose³ka                   |MOBNAME_GRINDSTONE       
7021                     |-10173.202,-113.471,-1561|0.000,383.460,0.000      |Ogieñ w kuŸni            |MOBNAME_FORGE            
7023                     |-9861.720,-114.991,-15591|0.000,63.899,0.000       |Wiadro wody              |MOBNAME_BUCKET           
7025                     |-9795.077,-113.766,-15165|0.000,88.838,0.000       |Kowad³o                  |MOBNAME_ANVIL            
7027                     |-10180.215,1034.155,-1931|0.000,50.000,0.000       |                         |MOBNAME_BENCH            
7029                     |-9649.277,461.935,-12337.|0.000,50.000,0.000       |                         |MOBNAME_BENCH            
7031                     |-10235.238,462.074,-12336|0.000,50.000,0.000       |                         |MOBNAME_BENCH            
7033                     |-9212.384,-113.716,-13133|0.000,50.000,0.000       |                         |MOBNAME_BENCH            
7035                     |-9107.464,-114.179,-15367|0.000,50.000,0.000       |                         |MOBNAME_BENCH            
7041                     |-10776.356,390.243,-16898|0.000,50.000,0.000       |                         |MOBNAME_BENCH            
7043                     |-9426.024,392.165,-16952.|0.000,50.000,0.000       |                         |MOBNAME_BENCH            
7045                     |-10851.700,401.247,-16352|0.000,50.000,0.000       |                         |MOBNAME_BENCH            
7047                     |-9287.535,389.637,-16405.|0.000,50.000,0.000       |                         |MOBNAME_BENCH            
7051                     |-9841.165,567.084,-18812.|0.000,250.000,0.000      |                         |                         
7062                     |-9651.209,19.372,-17463.6|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
7064                     |-9473.000,-116.000,-17488|0.000,131.007,0.000      |Stó³ alchemiczny         |MOBNAME_LAB              
